[2016-02-17 10:49:02,899][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-02-17 10:49:02,917][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-02-17 10:49:02,918][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
[2016-02-17 10:49:02,920][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-02-17 10:49:34,712][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-02-17 10:49:34,714][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-02-17 10:49:34,714][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'sa7rsjv29vgz7xaoqs8g527z3isb5z1h' AND `django_session`.`expire_date` > '2016-02-17 02:49:34'); args=('sa7rsjv29vgz7xaoqs8g527z3isb5z1h', u'2016-02-17 02:49:34')
[2016-02-17 10:49:34,715][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
[2016-02-17 10:49:34,731][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.001) SELECT `cmdb_server`.`id`, `cmdb_server`.`server_name`, `cmdb_server`.`ipaddr`, `cmdb_server`.`port`, `cmdb_server`.`username`, `cmdb_server`.`password`, `cmdb_server`.`new_password`, `cmdb_server`.`app_id`, `cmdb_server`.`app_status`, `cmdb_server`.`publish_date`, `cmdb_server`.`rollbackup_status`, `cmdb_server`.`task_id`, `cmdb_server`.`ssh_check`, `cmdb_server`.`change_password_tag`, `cmdb_server`.`change_password_time` FROM `cmdb_server` WHERE `cmdb_server`.`id` IN (1, 2, 3, 4, 5, 7, 8); args=(1, 2, 3, 4, 5, 7, 8)
[2016-02-17 10:49:34,852][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = 'client02', `ipaddr` = '192.168.26.68', `port` = 22, `username` = 'root', `password` = 'CagnqxX9RjcWZX5mSYpEjii2gkMqMsaf', `new_password` = 'CagnqxX9RjcWZX5mSYpEjii2gkMqMsaf', `app_id` = 1, `app_status` = 0, `publish_date` = '2016-02-15 03:47:36', `rollbackup_status` = '20160214100836', `task_id` = 1065, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:57:58' WHERE `cmdb_server`.`id` = 1; args=(u'client02', u'192.168.26.68', 22, u'root', u'CagnqxX9RjcWZX5mSYpEjii2gkMqMsaf', u'CagnqxX9RjcWZX5mSYpEjii2gkMqMsaf', 1, False, u'2016-02-15 03:47:36', u'20160214100836', 1065, 0, 0, u'2016-02-16 03:57:58', 1)
[2016-02-17 10:49:35,209][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = 'client01', `ipaddr` = '192.168.26.205', `port` = 22, `username` = 'root', `password` = 'd2IUGXD3f6SsoR8prV0NZ7wIqdbxEnLy', `new_password` = 'd2IUGXD3f6SsoR8prV0NZ7wIqdbxEnLy', `app_id` = 1, `app_status` = 0, `publish_date` = '2016-02-15 03:47:36', `rollbackup_status` = '20160214100836', `task_id` = 1065, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:57:59' WHERE `cmdb_server`.`id` = 2; args=(u'client01', u'192.168.26.205', 22, u'root', u'd2IUGXD3f6SsoR8prV0NZ7wIqdbxEnLy', u'd2IUGXD3f6SsoR8prV0NZ7wIqdbxEnLy', 1, False, u'2016-02-15 03:47:36', u'20160214100836', 1065, 0, 0, u'2016-02-16 03:57:59', 2)
[2016-02-17 10:49:35,393][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = 'saltmaster01', `ipaddr` = '192.168.26.202', `port` = 22, `username` = 'root', `password` = 'P810hUQ17NknlOkpfGSL57VUQ0gi0Idn', `new_password` = 'P810hUQ17NknlOkpfGSL57VUQ0gi0Idn', `app_id` = 1, `app_status` = 0, `publish_date` = '2016-02-15 03:47:36', `rollbackup_status` = '20160214100836', `task_id` = 1065, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:58:00' WHERE `cmdb_server`.`id` = 3; args=(u'saltmaster01', u'192.168.26.202', 22, u'root', u'P810hUQ17NknlOkpfGSL57VUQ0gi0Idn', u'P810hUQ17NknlOkpfGSL57VUQ0gi0Idn', 1, False, u'2016-02-15 03:47:36', u'20160214100836', 1065, 0, 0, u'2016-02-16 03:58:00', 3)
[2016-02-17 10:49:35,641][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = '192.168.26.57', `ipaddr` = '192.168.26.57', `port` = 22, `username` = 'root', `password` = 'enmoaDNSzspjj6x7Vg76jE3SL32ueh1w', `new_password` = 'enmoaDNSzspjj6x7Vg76jE3SL32ueh1w', `app_id` = NULL, `app_status` = 1, `publish_date` = '2016-02-15 03:47:36', `rollbackup_status` = '20160214100836', `task_id` = 1055, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:58:01' WHERE `cmdb_server`.`id` = 4; args=(u'192.168.26.57', u'192.168.26.57', 22, u'root', u'enmoaDNSzspjj6x7Vg76jE3SL32ueh1w', u'enmoaDNSzspjj6x7Vg76jE3SL32ueh1w', True, u'2016-02-15 03:47:36', u'20160214100836', 1055, 0, 0, u'2016-02-16 03:58:01', 4)
[2016-02-17 10:49:35,878][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = '192.168.26.58', `ipaddr` = '192.168.26.58', `port` = 22, `username` = 'root', `password` = 'SPcfzbblTS54Rb40HrW64L2nIVoHRpdS', `new_password` = 'SPcfzbblTS54Rb40HrW64L2nIVoHRpdS', `app_id` = NULL, `app_status` = 1, `publish_date` = '2016-02-15 03:47:36', `rollbackup_status` = '20160214100836', `task_id` = 1055, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:58:02' WHERE `cmdb_server`.`id` = 5; args=(u'192.168.26.58', u'192.168.26.58', 22, u'root', u'SPcfzbblTS54Rb40HrW64L2nIVoHRpdS', u'SPcfzbblTS54Rb40HrW64L2nIVoHRpdS', True, u'2016-02-15 03:47:36', u'20160214100836', 1055, 0, 0, u'2016-02-16 03:58:02', 5)
[2016-02-17 10:49:36,149][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) UPDATE `cmdb_server` SET `server_name` = 'zw_server', `ipaddr` = '192.168.26.74', `port` = 22, `username` = 'root', `password` = 'JiXfuR5Y0f8qY1V24n3MTRHSX2kPwMIA', `new_password` = 'JiXfuR5Y0f8qY1V24n3MTRHSX2kPwMIA', `app_id` = 8, `app_status` = 1, `publish_date` = '2016-02-14 09:36:56', `rollbackup_status` = '20160214173109', `task_id` = 1053, `ssh_check` = 0, `change_password_tag` = 0, `change_password_time` = '2016-02-16 03:58:03' WHERE `cmdb_server`.`id` = 7; args=(u'zw_server', u'192.168.26.74', 22, u'root', u'JiXfuR5Y0f8qY1V24n3MTRHSX2kPwMIA', u'JiXfuR5Y0f8qY1V24n3MTRHSX2kPwMIA', 8, True, u'2016-02-14 09:36:56', u'20160214173109', 1053, 0, 0, u'2016-02-16 03:58:03', 7)
